,顶煤粒径,煤层厚度,煤层倾角,放煤步距,放煤顺序,放煤口长度,刮板输送机速度,放煤总量m3,洒煤总量m3,洒煤率
1,0.015,6,17,0.8,0,1,1.2,2.88,0.1523,0.052881944
2,0.055,6,17,0.8,0,1,1.2,2.89,0.1272255,0.044022664
3,0.075,6,17,0.8,0,1,1.2,2.896,0.0647985,0.022375173
4,0.035,6,10,0.8,0,1,1.2,2.87,0.1529,0.053275261
5,0.035,6,20,0.8,0,1,1.2,2.86,0.1501,0.052482517
6,0.035,6,30,0.8,0,1,1.2,2.86,0.1493,0.052202797
7,0.035,6,40,0.8,0,1,1.2,2.88,0.149,0.051736111
8,0.035,5,17,0.8,0,1,1.2,0.96,0.049876,0.051954167
9,0.035,7,17,0.8,0,1,1.2,3.83,0.2014,0.052584856
10,0.035,9,17,0.8,0,1,1.2,5.75,0.2996,0.052104348
11,0.035,7,17,0.8,0,1,1.2,3.83,0.2014,0.052584856
12,0.035,7,17,1.6,0,1,1.2,7.67,0.4396,0.057314211
13,0.035,6,17,0.8,0,1,1.2,2.88,0.1523,0.052881944
14,0.035,6,17,0.8,1,1,1.2,2.81,0.1572,0.05594306
15,0.035,6,17,0.8,0,0.5,1.2,2.83,0.1202,0.042473498
16,0.035,6,17,0.8,0,0.75,1.2,2.85,0.1326,0.046526316
17,0.035,6,17,0.8,0,1,1.2,2.88,0.1523,0.052881944
18,0.035,6,17,0.8,0,1,1,2.88,0.1676,0.058194444
19,0.035,6,17,0.8,0,1,1.2,2.88,0.1523,0.052881944
20,0.035,6,17,0.8,0,1,1.4,2.88,0.1061,0.036840278
